DATE,DEXMXUS
2013-04-22,12.3071
2013-04-23,12.2437
2013-04-24,12.2850
2013-04-25,12.1175
2013-04-26,12.1786
2013-04-29,12.1240
2013-04-30,12.1323
2013-05-01,12.2246
2013-05-02,12.1540
2013-05-03,12.0880
2013-05-06,12.1065
2013-05-07,12.0750
2013-05-08,12.0308
2013-05-09,11.9760
2013-05-10,12.1313
2013-05-13,12.1425
2013-05-14,12.1525
2013-05-15,12.2316
2013-05-16,12.2421
2013-05-17,12.3153
2013-05-20,12.3355
2013-05-21,12.3225
2013-05-22,12.3185
2013-05-23,12.4651
2013-05-24,12.5404
2013-05-27,.
2013-05-28,12.5387
2013-05-29,12.6373
2013-05-30,12.7778
2013-05-31,12.7791
2013-06-03,12.7900
2013-06-04,12.7240
2013-06-05,12.8296
2013-06-06,12.9000
2013-06-07,12.7386
2013-06-10,12.8535
2013-06-11,12.8650
2013-06-12,12.8449
2013-06-13,12.7795
2013-06-14,12.6980
2013-06-17,12.7776
2013-06-18,12.8845
2013-06-19,12.8721
2013-06-20,13.4050
2013-06-21,13.4147
2013-06-24,13.3945
2013-06-25,13.2570
2013-06-26,13.2150
2013-06-27,13.0365
2013-06-28,12.9925
2013-07-01,12.9000
2013-07-02,12.9790
2013-07-03,13.0310
2013-07-04,.
2013-07-05,13.0440
2013-07-08,12.9490
2013-07-09,12.8675
2013-07-10,12.9475
2013-07-11,12.8475
2013-07-12,12.8295
2013-07-15,12.7390
2013-07-16,12.6280
2013-07-17,12.5310
2013-07-18,12.5375
2013-07-19,12.5525
2013-07-22,12.5040
2013-07-23,12.5125
2013-07-24,12.6425
2013-07-25,12.6550
2013-07-26,12.7120
2013-07-29,12.7340
2013-07-30,12.7540
2013-07-31,12.8570
2013-08-01,12.8240
2013-08-02,12.6805
2013-08-05,12.6765
2013-08-06,12.6440
2013-08-07,12.6900
2013-08-08,12.6170
2013-08-09,12.6010
2013-08-12,12.5620
2013-08-13,12.7515
2013-08-14,12.7205
2013-08-15,12.8335
2013-08-16,12.8685
2013-08-19,12.9900
2013-08-20,12.9795
2013-08-21,13.1700
2013-08-22,13.1555
2013-08-23,12.9930
2013-08-26,13.1420
2013-08-27,13.3145
2013-08-28,13.2295
2013-08-29,13.2850
2013-08-30,13.3355
2013-09-02,.
2013-09-03,13.4330
2013-09-04,13.2930
2013-09-05,13.3990
2013-09-06,13.1775
2013-09-09,13.1530
2013-09-10,13.1420
2013-09-11,13.0870
2013-09-12,13.0970
2013-09-13,13.0490
2013-09-16,12.9300
2013-09-17,12.9180
2013-09-18,12.9700
2013-09-19,12.7380
2013-09-20,12.7770
2013-09-23,12.7990
2013-09-24,12.8605
2013-09-25,12.9340
2013-09-26,13.0465
2013-09-27,13.1465
2013-09-30,13.1550
2013-10-01,13.1771
2013-10-02,13.1530
2013-10-03,13.2465
2013-10-04,13.0855
2013-10-07,13.0880
2013-10-08,13.1520
2013-10-09,13.2020
2013-10-10,13.0700
2013-10-11,13.0475
2013-10-14,.
2013-10-15,12.9485
2013-10-16,12.8585
2013-10-17,12.7665
2013-10-18,12.8010
2013-10-21,12.9590
2013-10-22,12.8610
2013-10-23,12.9335
2013-10-24,12.9770
2013-10-25,12.8750
2013-10-28,12.8625
2013-10-29,12.8740
2013-10-30,12.8765
2013-10-31,12.9995
2013-11-01,13.0815
2013-11-04,12.9855
2013-11-05,13.1400
2013-11-06,13.1495
2013-11-07,13.1975
2013-11-08,13.2430
2013-11-11,.
2013-11-12,13.1980
2013-11-13,13.0850
2013-11-14,13.0070
2013-11-15,12.9505
2013-11-18,12.8710
2013-11-19,12.8965
2013-11-20,12.9805
2013-11-21,13.0635
2013-11-22,12.9985
2013-11-25,13.0130
2013-11-26,13.0665
2013-11-27,13.0960
2013-11-28,.
2013-11-29,13.1110
2013-12-02,13.2030
2013-12-03,13.2165
2013-12-04,13.1020
2013-12-05,13.0185
2013-12-06,12.9380
2013-12-09,12.8505
2013-12-10,12.8850
2013-12-11,12.9225
2013-12-12,13.0380
2013-12-13,12.9575
2013-12-16,12.9450
2013-12-17,12.9530
2013-12-18,12.9925
2013-12-19,12.9710
2013-12-20,12.9475
2013-12-23,12.9725
2013-12-24,13.0190
2013-12-25,.
2013-12-26,13.0555
2013-12-27,13.0730
2013-12-30,13.0490
2013-12-31,13.0980
2014-01-01,.
2014-01-02,13.1155
2014-01-03,13.1055
2014-01-06,13.0930
2014-01-07,13.0450
2014-01-08,13.0905
2014-01-09,13.1550
2014-01-10,12.9965
2014-01-13,13.0135
2014-01-14,13.0865
2014-01-15,13.1640
2014-01-16,13.3115
2014-01-17,13.2680
2014-01-20,.
2014-01-21,13.2970
2014-01-22,13.3180
2014-01-23,13.3785
2014-01-24,13.4560
2014-01-27,13.4450
2014-01-28,13.3135
2014-01-29,13.3415
2014-01-30,13.3105
2014-01-31,13.3585
2014-02-03,13.5090
2014-02-04,13.3605
2014-02-05,13.3375
2014-02-06,13.2175
2014-02-07,13.3305
2014-02-10,13.3035
2014-02-11,13.2845
2014-02-12,13.3125
2014-02-13,13.3380
2014-02-14,13.2505
2014-02-17,.
2014-02-18,13.2285
2014-02-19,13.2720
2014-02-20,13.2935
2014-02-21,13.2710
2014-02-24,13.2035
2014-02-25,13.2110
2014-02-26,13.3175
2014-02-27,13.2960
2014-02-28,13.2255
2014-03-03,13.3315
2014-03-04,13.2820
2014-03-05,13.2520
2014-03-06,13.1425
2014-03-07,13.1740
2014-03-10,13.2200
2014-03-11,13.2325
2014-03-12,13.2700
2014-03-13,13.2290
2014-03-14,13.2275
2014-03-17,13.1975
2014-03-18,13.1670
2014-03-19,13.1685
2014-03-20,13.2625
2014-03-21,13.2200
2014-03-24,13.1945
2014-03-25,13.1415
2014-03-26,13.1260
2014-03-27,13.0680
2014-03-28,13.0880
2014-03-31,13.0560
2014-04-01,13.0265
2014-04-02,13.1005
2014-04-03,13.1335
2014-04-04,13.0265
2014-04-07,13.0090
2014-04-08,12.9500
2014-04-09,13.0525
2014-04-10,13.0455
2014-04-11,13.0740
2014-04-14,13.0510
2014-04-15,13.0960
2014-04-16,13.0545
2014-04-17,13.0565
2014-04-18,13.0425
2014-04-21,13.0400
2014-04-22,13.0500
2014-04-23,13.0920
2014-04-24,13.0955
2014-04-25,13.1350
2014-04-28,13.1425
2014-04-29,13.1155
2014-04-30,13.0835
2014-05-01,13.0525
2014-05-02,12.9985
2014-05-05,13.0080
2014-05-06,13.0025
2014-05-07,12.9800
2014-05-08,12.9455
2014-05-09,12.9860
2014-05-12,12.9575
2014-05-13,12.9260
2014-05-14,12.8850
2014-05-15,12.9745
2014-05-16,12.9220
2014-05-19,12.8945
2014-05-20,12.9365
2014-05-21,12.9150
2014-05-22,12.8815
2014-05-23,12.8630
2014-05-26,.
2014-05-27,12.8870
2014-05-28,12.8710
2014-05-29,12.8455
2014-05-30,12.8605
2014-06-02,12.9110
2014-06-03,12.9375
2014-06-04,12.9460
2014-06-05,12.8765
2014-06-06,12.9070
2014-06-09,12.9880
2014-06-10,13.0435
2014-06-11,13.0295
2014-06-12,12.9860
2014-06-13,13.0215
2014-06-16,13.0264
2014-06-17,13.0910
2014-06-18,13.0660
2014-06-19,12.9955
2014-06-20,13.0065
2014-06-23,12.9950
2014-06-24,13.0195
2014-06-25,13.0195
2014-06-26,13.0200
2014-06-27,13.0010
2014-06-30,12.9695
2014-07-01,12.9455
2014-07-02,12.9625
2014-07-03,12.9665
2014-07-04,.
2014-07-07,13.0030
2014-07-08,13.0020
2014-07-09,12.9725
2014-07-10,12.9985
2014-07-11,12.9820
2014-07-14,12.9773
2014-07-15,12.9735
2014-07-16,12.9350
2014-07-17,12.9700
2014-07-18,12.9610
2014-07-21,12.9685
2014-07-22,12.9355
2014-07-23,12.9260
2014-07-24,12.9550
2014-07-25,12.9500
2014-07-28,12.9875
2014-07-29,13.0655
2014-07-30,13.1375
2014-07-31,13.2370
2014-08-01,13.2140
2014-08-04,13.1980
2014-08-05,13.2810
2014-08-06,13.2545
2014-08-07,13.2665
2014-08-08,13.2340
2014-08-11,13.1920
2014-08-12,13.1700
2014-08-13,13.1060
2014-08-14,13.0710
2014-08-15,13.1015
2014-08-18,13.0495
2014-08-19,13.0570
2014-08-20,13.0825
2014-08-21,13.0935
2014-08-22,13.1375
2014-08-25,13.1305
2014-08-26,13.1050
2014-08-27,13.0850
2014-08-28,13.1175
2014-08-29,13.0690
2014-09-01,.
2014-09-02,13.1310
2014-09-03,13.0915
2014-09-04,13.1115
2014-09-05,13.0680
2014-09-08,13.0755
2014-09-09,13.2040
2014-09-10,13.2090
2014-09-11,13.2120
2014-09-12,13.2485
2014-09-15,13.2315
2014-09-16,13.1540
2014-09-17,13.1805
2014-09-18,13.2355
2014-09-19,13.2390
2014-09-22,13.2595
2014-09-23,13.2925
2014-09-24,13.2990
2014-09-25,13.3800
2014-09-26,13.4445
2014-09-29,13.4823
2014-09-30,13.4270
2014-10-01,13.4610
2014-10-02,13.4100
2014-10-03,13.4725
2014-10-06,13.3970
2014-10-07,13.4370
2014-10-08,13.4855
2014-10-09,13.3940
2014-10-10,13.4270
2014-10-13,.
2014-10-14,13.4015
2014-10-15,13.5615
2014-10-16,13.5605
2014-10-17,13.5155
2014-10-20,13.5365
2014-10-21,13.5060
2014-10-22,13.5430
2014-10-23,13.5240
2014-10-24,13.5290
2014-10-27,13.5727
2014-10-28,13.4880
2014-10-29,13.4150
2014-10-30,13.4300
2014-10-31,13.4825
2014-11-03,13.5405
2014-11-04,13.5930
2014-11-05,13.5935
2014-11-06,13.6205
2014-11-07,13.5625
2014-11-10,13.5475
2014-11-11,.
2014-11-12,13.5600
2014-11-13,13.6120
2014-11-14,13.5360
2014-11-17,13.5870
2014-11-18,13.5450
2014-11-19,13.6070
2014-11-20,13.6170
2014-11-21,13.6255
2014-11-24,13.6415
2014-11-25,13.6410
2014-11-26,13.7155
2014-11-27,.
2014-11-28,13.9210
2014-12-01,13.9355
2014-12-02,14.0695
2014-12-03,14.0920
2014-12-04,14.1020
2014-12-05,14.3260
2014-12-08,14.4270
2014-12-09,14.3655
2014-12-10,14.5175
2014-12-11,14.7050
2014-12-12,14.7850
2014-12-15,14.7940
2014-12-16,14.7440
2014-12-17,14.5655
2014-12-18,14.5585
2014-12-19,14.6635
2014-12-22,14.6405
2014-12-23,14.7075
2014-12-24,14.7460
2014-12-25,.
2014-12-26,.
2014-12-29,14.7125
2014-12-30,14.7230
2014-12-31,14.7500
2015-01-01,.
2015-01-02,14.8060
2015-01-05,14.9700
2015-01-06,14.8785
2015-01-07,14.7875
2015-01-08,14.6095
2015-01-09,14.5765
2015-01-12,14.6370
2015-01-13,14.5755
2015-01-14,14.5740
2015-01-15,14.5920
2015-01-16,14.6110
2015-01-19,.
2015-01-20,14.6465
2015-01-21,14.7250
2015-01-22,14.6015
2015-01-23,14.6400
2015-01-26,14.5640
2015-01-27,14.5775
2015-01-28,14.6855
2015-01-29,14.8805
2015-01-30,15.0050
2015-02-02,14.8815
2015-02-03,14.7515
2015-02-04,14.7935
2015-02-05,14.7480
2015-02-06,14.9175
2015-02-09,14.8090
2015-02-10,14.9530
2015-02-11,15.1025
2015-02-12,14.8905
2015-02-13,14.8730
2015-02-16,.
2015-02-17,14.8850
2015-02-18,14.9610
2015-02-19,14.9370
2015-02-20,15.0625
2015-02-23,15.0780
2015-02-24,14.9755
2015-02-25,14.9190
2015-02-26,14.9465
2015-02-27,14.9390
2015-03-02,14.9895
2015-03-03,14.9350
2015-03-04,15.0825
2015-03-05,15.1810
2015-03-06,15.4480
2015-03-09,15.4635
2015-03-10,15.5815
2015-03-11,15.4610
2015-03-12,15.3660
2015-03-13,15.4985
2015-03-16,15.4225
2015-03-17,15.4250
2015-03-18,15.4285
2015-03-19,15.3055
2015-03-20,15.0500
2015-03-23,14.9565
2015-03-24,14.9450
2015-03-25,14.9330
2015-03-26,15.0855
2015-03-27,15.1720
2015-03-30,15.2490
2015-03-31,15.2450
2015-04-01,15.1130
2015-04-02,15.0635
2015-04-03,14.8025
2015-04-06,14.8225
2015-04-07,14.9200
2015-04-08,14.9065
2015-04-09,15.0550
2015-04-10,15.1670
2015-04-13,15.3110
2015-04-14,15.2135
2015-04-15,15.3610
2015-04-16,15.2160
2015-04-17,15.3190
2015-04-20,15.3940
2015-04-21,15.3810
2015-04-22,15.4275
2015-04-23,15.3305
2015-04-24,15.3825
2015-04-27,15.3175
2015-04-28,15.2185
2015-04-29,15.1680
2015-04-30,15.3855
2015-05-01,15.5650
2015-05-04,15.5120
2015-05-05,15.3410
2015-05-06,15.2945
2015-05-07,15.3325
2015-05-08,15.1210
2015-05-11,15.2855
2015-05-12,15.2980
2015-05-13,15.2385
2015-05-14,15.1160
2015-05-15,14.9970
2015-05-18,15.1280
2015-05-19,15.1910
2015-05-20,15.1900
2015-05-21,15.2580
2015-05-22,15.2915
2015-05-25,.
2015-05-26,15.3310
2015-05-27,15.3570
2015-05-28,15.3765
2015-05-29,15.3688
2015-06-01,15.4685
2015-06-02,15.4345
2015-06-03,15.4555
2015-06-04,15.5575
2015-06-05,15.6925
2015-06-08,15.6735
2015-06-09,15.5530
2015-06-10,15.4610
2015-06-11,15.3990
2015-06-12,15.3975
2015-06-15,15.4190
2015-06-16,15.4230
2015-06-17,15.4300
2015-06-18,15.2710
2015-06-19,15.3440
2015-06-22,15.3265
2015-06-23,15.3970
2015-06-24,15.4450
2015-06-25,15.4860
2015-06-26,15.5630
2015-06-29,15.6555
2015-06-30,15.6902
2015-07-01,15.7780
2015-07-02,15.6895
2015-07-03,.
2015-07-06,15.7430
2015-07-07,15.8330
2015-07-08,15.8110
2015-07-09,15.7940
2015-07-10,15.7305
2015-07-13,15.7295
2015-07-14,15.6715
2015-07-15,15.7740
2015-07-16,15.7985
2015-07-17,15.9160
2015-07-20,15.9885
2015-07-21,15.9565
2015-07-22,16.1065
2015-07-23,16.1325
2015-07-24,16.2265
2015-07-27,16.2665
2015-07-28,16.2565
2015-07-29,16.1945
2015-07-30,16.4755
2015-07-31,16.0610
2015-08-03,16.1015
2015-08-04,16.1660
2015-08-05,16.3775
2015-08-06,16.3615
2015-08-07,16.1780
2015-08-10,16.1535
2015-08-11,16.3335
2015-08-12,16.2960
2015-08-13,16.3735
2015-08-14,16.3655
2015-08-17,16.3995
2015-08-18,16.4220
2015-08-19,16.5260
2015-08-20,16.6630
2015-08-21,16.9250
2015-08-24,17.0825
2015-08-25,17.0080
2015-08-26,17.0890
2015-08-27,16.8815
2015-08-28,16.7800
2015-08-31,16.7315
2015-09-01,16.8775
2015-09-02,16.9415
2015-09-03,16.7850
2015-09-04,16.8620
2015-09-07,.
2015-09-08,16.7840
2015-09-09,16.8015
2015-09-10,16.7575
2015-09-11,16.8230
2015-09-14,16.7955
2015-09-15,16.7680
2015-09-16,16.5680
2015-09-17,16.5880
2015-09-18,16.5615
2015-09-21,16.6925
2015-09-22,16.8790
2015-09-23,17.1040
2015-09-24,17.0620
2015-09-25,16.9630
2015-09-28,17.0115
2015-09-29,17.0895
2015-09-30,16.8980
2015-10-01,16.8915
2015-10-02,16.8115
2015-10-05,16.6990
2015-10-06,16.6820
2015-10-07,16.5735
2015-10-08,16.5015
2015-10-09,16.4125
2015-10-12,.
2015-10-13,16.5680
2015-10-14,16.5715
2015-10-15,16.4280
2015-10-16,16.3820
2015-10-19,16.5225
